Date,Mkt_Prem,SMB,HML,RMW,CMA,RF
2020-08-28,0.7,0.37,-0.23,0.13,-0.08,0
2020-08-31,-0.04,-0.93,-1.76,-0.71,-0.11,0
2020-09-01,0.92,0.19,-0.3,0.6,0.13,0
2020-09-02,1.27,-0.26,-0.45,0.76,-0.4,0
2020-09-03,-3.7,0.44,2.6,-0.09,-0.15,0
2020-09-04,-0.87,0.35,2.06,0.8,0.87,0
2020-09-08,-2.91,0.92,-0.28,-0.72,-0.61,0
2020-09-09,2.07,-0.61,-2,-0.17,-0.2,0
2020-09-10,-1.64,0.38,-0.07,-0.39,-0.36,0
2020-09-11,-0.06,-0.62,0.89,0.23,0.47,0
2020-09-14,1.59,1.03,-0.8,-0.82,0,0
2020-09-15,0.57,-0.63,-1.43,0.12,-0.35,0
2020-09-16,-0.39,1.22,1.31,-0.94,0.27,0
2020-09-17,-0.85,0.47,0.2,0.07,0.64,0
2020-09-18,-0.88,0.78,-0.21,-1.12,-0.47,0
2020-09-21,-1.08,-2.69,-1.89,-0.49,-0.28,0
2020-09-22,1.02,-0.47,-1.63,0.58,-0.5,0
2020-09-23,-2.48,-0.66,0.16,0.2,-0.18,0
2020-09-24,0.25,-0.19,0.38,0.52,0.11,0
2020-09-25,1.72,-0.16,-1.34,-0.51,-0.63,0
2020-09-28,1.66,0.88,1.05,0.4,0.18,0
2020-09-29,-0.42,0.41,-1.33,-0.79,-0.59,0
2020-09-30,0.79,-0.69,0.16,0.34,0.12,0
2020-10-01,0.79,0.79,-0.54,-0.02,-0.58,0
2020-10-02,-0.96,1.68,2.44,0.58,0.34,0
2020-10-05,1.93,0.88,-0.1,-0.47,0.12,0
2020-10-06,-1.28,0.84,0.26,-0.51,-0.05,0
2020-10-07,1.84,0.49,0.22,-0.28,0.13,0
2020-10-08,0.8,0.28,0.99,0.22,0.25,0
2020-10-09,0.93,-0.33,-1.41,-0.18,-0.29,0
2020-10-12,1.53,-1.01,-0.09,0.79,0.34,0
2020-10-13,-0.41,-0.18,-1.72,-0.88,-0.98,0
2020-10-14,-0.65,0,0.03,0.36,0.67,0
2020-10-15,-0.08,1.17,1.14,0.17,0.19,0
2020-10-16,-0.06,-0.13,0.06,-0.04,-0.12,0
2020-10-19,-1.53,0.35,0.3,-0.35,-0.24,0
2020-10-20,0.34,-0.09,1.26,0.54,0.16,0
2020-10-21,-0.36,-0.47,0.41,0.53,-0.01,0
2020-10-22,0.67,0.95,1.03,-0.58,-0.09,0
2020-10-23,0.38,0.38,0.04,-0.14,-0.35,0
2020-10-26,-1.85,-0.48,-0.39,-0.14,-0.02,0
2020-10-27,-0.23,-0.62,-2.33,-0.41,-0.73,0
2020-10-28,-3.41,0.18,0.58,-0.46,0,0
2020-10-29,1.13,0.15,0.27,0.32,0.6,0
2020-10-30,-1.45,-0.24,1.86,0.25,-0.08,0
2020-11-02,1.17,0.87,0.99,0.42,0.39,0
2020-11-03,1.93,1,-0.2,-0.18,0.02,0
2020-11-04,2.25,-2.56,-5,-0.72,-1.71,0
2020-11-05,2.13,1.03,0.52,0.36,0.55,0
2020-11-06,0.01,-1.09,-0.93,-0.23,-0.11,0
2020-11-09,0.86,2.82,6.74,0.79,0.83,0
2020-11-10,-0.17,2.09,2.16,0.32,1.28,0
2020-11-11,0.88,-1.09,-1.75,-0.64,-0.18,0
2020-11-12,-0.94,-0.56,-1.18,-0.67,-0.23,0
2020-11-13,1.31,0.93,1.14,0.59,0.43,0
2020-11-16,1.22,1.25,2,0.71,0.86,0
2020-11-17,-0.19,0.6,0,-0.42,-0.42,0
2020-11-18,-0.93,-0.05,0.02,0.07,-0.4,0
2020-11-19,0.59,0.27,-0.76,-0.66,-0.19,0
2020-11-20,-0.51,0.6,-0.6,-0.74,-0.1,0
2020-11-23,0.83,1.4,1.57,0.34,0.05,0
2020-11-24,1.56,0.51,2.76,0.53,0.52,0
2020-11-25,0.03,-0.27,-1.33,-0.39,-0.53,0
2020-11-27,0.43,0.15,-1.62,-0.77,-0.31,0
2020-11-30,-0.53,-1.55,-2.07,-0.5,0.48,0
2020-12-01,0.98,-0.08,0.54,1.06,0.49,0
2020-12-02,0.11,0.21,1.07,0.38,0.6,0
2020-12-03,0.18,0.55,-0.09,-0.29,0.19,0
2020-12-04,1.02,1.59,0.84,-0.32,0.59,0
2020-12-07,0.03,-0.06,-1.02,-0.56,-0.49,0
2020-12-08,0.47,0.89,-0.71,-0.71,0,0
2020-12-09,-1.03,0.31,1.28,0.85,0.28,0
2020-12-10,0.24,0.93,-0.47,-1.52,-0.27,0
2020-12-11,-0.2,-0.58,-0.71,-0.57,-0.55,0
2020-12-14,-0.28,0.22,-1.52,-0.4,-0.8,0
2020-12-15,1.28,1.15,0.36,0.44,0.55,0
2020-12-16,0.17,-0.58,-0.38,0.03,-0.2,0
2020-12-17,0.79,0.5,-0.71,-0.59,-0.21,0
2020-12-18,-0.12,-0.19,-1.17,-0.4,-0.75,0
